ROPN1B_MRNA	733.7710416681246
CELSR2_MRNA	679.1053140565027
CSAD_MRNA	412.2672745476586
MPZL2_MRNA	398.4662149890895
MTFR2_MRNA	303.02321306305794
RCOR3_MRNA	281.74253405084966
GBP5_MRNA	272.3479274573078
SPG11_MRNA	267.7337360239559
SIDT1_MRNA	262.6663411991975
TMEM123_MRNA	262.36012428294
PTPN14_MRNA	226.0110124963039
GPX7_MRNA	223.81869681514019
PBK_MRNA	211.98237096095554
MCCC1_MRNA	204.62107453211974
CHRM3_MRNA	198.30947539397494
BECN1_MRNA	196.82012906326057
ARHGAP32_MRNA	190.36129627114883
CWC25_MRNA	184.863801583631
NDRG1_MRNA	184.57840490894606
RAP2A_MRNA	182.28545286031098
SPR_MRNA	182.28388675388808
AFF3_MRNA	171.49935170270624
MAD2L1_MRNA	170.80164265998962
PTTG1_MRNA	162.89025495532462
MCM2_MRNA	160.14921435874797
KRT5_MRNA	158.21140412467435
CCZ1P-OR7E38P_MRNA	157.7642601172461
IFNAR2_MRNA	157.26025857842322
RBKS_MRNA	155.53413235711338
FAAH2_MRNA	147.36666869091363
RUNX3_MRNA	146.43234991862795
MYO10_MRNA	145.5126342225895
NXN_MRNA	143.29862227889473
FAM120AOS_MRNA	141.99874859416113
CLSTN2_MRNA	141.8150391573359
PARD6B_MRNA	137.81737478118654
GLYATL2_MRNA	137.14260339929913
DONSON_MRNA	136.93172178028348
LOC113230_MRNA	136.65976080452802
GCNT2_MRNA	136.5100682421512
CYP26B1_MRNA	136.49992612051958
TICRR_MRNA	136.20633934528698
MST1_MRNA	134.96059249835207
ENPP5_MRNA	133.60640619114022
KIF14_MRNA	132.8399849648197
NUP93_MRNA	131.47955052422716
NDFIP1_MRNA	130.6426482868078
MCM5_MRNA	128.10978117633488
RAI2_MRNA	124.36342859550815
SCNN1D_MRNA	123.67331953675028
MIEN1_MRNA	122.78248325203906
SFXN2_MRNA	121.68294642735194
SEPTIN3_MRNA	121.19064814349784
ATP7B_MRNA	120.03681763885015
NCS1_MRNA	119.90075811616056
LRBA_MRNA	119.89040009818083
KLHDC9_MRNA	118.91807905029479
LINC00672_MRNA	116.89361845427105
ARL5B_MRNA	115.25402505540029
HASPIN_MRNA	113.40499509619853
GATA3_MRNA	113.05208487492892
ASB13_MRNA	112.82439388490475
WDR62_MRNA	111.22297673519202
LMNB2_MRNA	111.19991558587556
KNSTRN_MRNA	110.58166096358906
RNF103_MRNA	110.06422691649675
DEPDC1_MRNA	109.73804930010303
IFT140_MRNA	109.62929731820941
SLC43A3_MRNA	108.26862301862487
PHYHD1_MRNA	108.03219801052124
TENT4A_MRNA	107.71722023633257
RHOB_MRNA	107.23348821039963
TMEM115_MRNA	106.2190169354174
UCK2_MRNA	105.85373861842871
PCGF2_MRNA	105.61584097695878
LDHB_MRNA	103.89754365566434
CCDC189_MRNA	103.60983119012369
PSAT1_MRNA	103.25085785645616
ANXA8_MRNA	103.18832739032311
DESI1_MRNA	102.35434204775412
CGN_MRNA	101.25093403355235
CENPL_MRNA	100.32469753240743
SNX8_MRNA	98.74922612992766
LYAR_MRNA	97.63848740576587
KDM2B_MRNA	96.15705043774868
QDPR_MRNA	95.71650420059987
SMIM14_MRNA	94.75530028175008
RPL19_CNA	93.8334004738713
RPP40_MRNA	93.56771385468598
CCDC106_MRNA	93.00826561129787
ST8SIA6_MRNA	92.93692777310034
MAGED2_MRNA	92.25435965028672
MAP3K21_MRNA	92.0667580900314
CEP152_MRNA	92.04622718774893
SERP2_MRNA	91.1314370938429
DYNC2H1_MRNA	90.96321266828578
ADA_MRNA	90.92069930162363
NXNL2_MRNA	90.91199129452941
CDC123_MRNA	90.86808429898366
SOX10_MRNA	90.29596566515468
BEND3_MRNA	89.88975775113981
TTC8_MRNA	89.47266073343599
SUMF1_MRNA	89.26592744687913
FBXO5_MRNA	87.94508331450254
PI3_MRNA	87.89135976654453
NOXA1_MRNA	87.41509379112865
MARS1_MRNA	86.8038455520351
MTHFD2_MRNA	86.55742411606589
TOMM40_MRNA	86.35102292623935
IL37_MRNA	86.02421497947813
E2F4_MRNA	85.77716578255401
NSMCE1_MRNA	84.73453775491305
TCAP_CNA	84.58296080231753
PCLAF_MRNA	84.39156428273805
TMEM97_MRNA	83.96960862658575
TRIM3_MRNA	83.0579815231424
LAMP3_MRNA	82.62162424362282
PIM1_MRNA	82.47090209927218
PRC1_MRNA	82.13896668471487
ANKRA2_MRNA	81.90326853471083
CMBL_MRNA	81.44356107624627
FAM174A_MRNA	81.36185548319803
DAPK1_MRNA	80.19620283623055
UTP4_MRNA	80.04933020870129
USB1_MRNA	79.52428369759834
LAMP5_MRNA	79.07595480544244
GARS1_MRNA	78.80334942378713
TMC4_MRNA	78.76874042988584
PKIB_MRNA	78.06683245571632
POR_MRNA	78.05606859546316
XAB2_MRNA	77.54824502376223
IGBP1_MRNA	77.43064413426613
TBX19_MRNA	76.56828160939853
NEUROD2_CNA	76.30385027255019
ANKMY1_MRNA	75.53901391975914
TCEAL3_MRNA	75.34696038222961
FBN3_MRNA	75.06542882825838
FBXL5_MRNA	75.03403252869457
ELOC_MRNA	74.65370231561002
GPT2_MRNA	73.97732659559449
H2AZ1_MRNA	73.38424869542874
CASC1_MRNA	73.37765774015217
KRT16P3_MRNA	73.3651182649913
FLNB_MRNA	73.17525322444585
TMBIM6_MRNA	72.96297606832294
CYP4X1_MRNA	72.68886321101898
LIMK2_MRNA	72.21450112689713
MVD_MRNA	72.12373048016481
YBX1_MRNA	71.87141464438646
